id_source;id_destination;poids;type
N1;N4;86;2
N1;N21;190;2
N2;N47;14;2
N3;N1;200;2
N3;N16;10;2
N3;N42;12;2
N3;N55;47;2
N3;N96;37;2
N4;N58;59;2
N4;N69;190;2
N4;N76;32;2
N4;N80;149;2
N5;N16;190;2
N5;N45;128;2
N6;N36;52;2
N6;N53;57;2
N6;N77;15;2
N6;N84;106;2
N6;N85;172;2
N7;N16;151;2
N7;N74;54;2
N8;N53;71;2
N8;N61;130;2
N9;N53;200;2
N11;N21;187;2
N11;N26;62;2
N11;N30;56;2
N11;N63;10;2
N13;N27;51;2
N13;N38;150;2
N13;N87;111;2
N14;N16;191;2
N15;N10;174;2
N15;N26;55;2
N15;N40;102;2
N15;N48;89;2
N15;N78;46;2
N16;N5;92;2
N16;N25;34;2
N17;N77;113;2
N18;N90;32;2
N19;N14;32;2
N19;N22;170;2
N20;N19;78;2
N20;N89;41;2
N20;N94;42;2
N20;N96;83;2
N21;N99;88;2
N22;N51;47;2
N22;N62;171;2
N22;N70;189;2
N24;N12;28;2
N24;N98;100;2
N25;N45;193;2
N25;N60;26;2
N25;N62;159;2
N25;N63;190;2
N25;N73;106;2
N26;N31;77;2
N26;N81;152;2
N27;N41;87;2
N27;N47;110;2
N28;N15;33;2
N28;N38;146;2
N28;N40;82;2
N28;N79;99;2
N29;N20;63;2
N29;N46;132;2
N29;N56;35;2
N29;N73;64;2
N30;N15;22;2
N30;N28;144;2
N33;N2;159;2
N33;N12;197;2
N33;N29;118;2
N34;N83;55;2
N34;N100;176;2
N35;N92;15;2
N36;N42;35;2
N36;N92;177;2
N37;N5;157;2
N38;N10;97;2
N38;N23;159;2
N38;N56;17;2
N38;N88;72;2
N39;N97;26;2
N40;N39;195;2
N41;N6;23;2
N41;N42;28;2
N41;N78;130;2
N41;N90;37;2
N41;N99;168;2
N42;N35;52;2
N42;N56;196;2
N43;N41;44;2
N44;N2;114;2
N44;N45;160;2
N44;N100;116;2
N45;N11;95;2
N45;N89;79;2
N46;N63;30;2
N47;N71;119;2
N47;N83;62;2
N49;N97;200;2
N50;N12;198;2
N50;N59;70;2
N50;N63;71;2
N50;N74;53;2
N50;N95;50;2
N50;N97;75;2
N51;N75;40;2
N52;N83;17;2
N53;N32;177;2
N53;N47;44;2
N55;N34;157;2
N55;N96;125;2
N56;N28;30;2
N57;N7;132;2
N57;N56;195;2
N57;N78;119;2
N59;N67;35;2
N59;N85;107;2
N59;N86;167;2
N60;N46;132;2
N60;N50;48;2
N60;N88;95;2
N61;N40;19;2
N61;N92;99;2
N62;N58;195;2
N62;N86;138;2
N66;N100;16;2
N67;N72;74;2
N67;N83;108;2
N68;N33;81;2
N69;N26;198;2
N69;N74;13;2
N70;N28;188;2
N70;N38;14;2
N70;N65;156;2
N70;N93;29;2
N71;N83;10;2
N71;N89;164;2
N72;N1;49;2
N72;N3;191;2
N72;N76;114;2
N72;N77;68;2
N73;N30;78;2
N73;N35;87;2
N75;N37;60;2
N75;N53;71;2
N76;N33;151;2
N76;N72;60;2
N77;N90;160;2
N78;N19;80;2
N78;N56;140;2
N79;N75;173;2
N79;N90;107;2
N80;N86;172;2
N81;N3;49;2
N81;N72;71;2
N81;N82;26;2
N81;N85;55;2
N82;N23;162;2
N82;N99;119;2
N83;N42;155;2
N83;N53;11;2
N83;N98;53;2
N84;N12;132;2
N84;N82;187;2
N84;N100;18;2
N85;N68;139;2
N85;N79;101;2
N85;N100;67;2
N86;N34;173;2
N86;N82;162;2
N88;N3;185;2
N88;N41;91;2
N90;N8;153;2
N91;N19;109;2
N91;N57;80;2
N91;N84;32;2
N92;N18;74;2
N92;N41;123;2
N92;N44;95;2
N92;N87;193;2
N93;N4;175;2
N93;N13;118;2
N93;N16;172;2
N93;N85;59;2
N94;N70;114;2
N95;N30;151;2
N98;N52;117;2
N98;N53;48;2
N99;N29;186;2
N100;N12;179;2
N100;N37;35;2
N100;N46;108;2
N100;N89;48;2
